source,source_name,target,target_name,title,weight
nm1002641,Dominic Cooper,nm1107001,Anthony Mackie,Abraham Lincoln: Vampire Hunter,-1
nm0001804,Stanley Tucci,nm0079273,Paul Bettany,Margin Call,-1
nm0342029,Frank Grillo,nm0012078,Scott Adkins,Lights Out,-1
nm0000161,Salma Hayek,nm0000547,Alfred Molina,Kahlil Gibran's The Prophet,-1
nm0000604,John C. Reilly,nm0046223,Sayed Badreya,The Dictator,-1
nm0000949,Cate Blanchett,nm0005023,Djimon Hounsou,How to Train Your Dragon 2,-1
nm0000949,Cate Blanchett,nm0534635,Richard Madden,Cinderella,-1
nm0000949,Cate Blanchett,nm0001745,Stellan Skarsgård,Cinderella,-1
nm0534635,Richard Madden,nm0001745,Stellan Skarsgård,Cinderella,-1
nm0578853,Ben Mendelsohn,nm4789912,Hannah John-Kamen,Ready Player One,-1
nm0001838,Rachel Weisz,nm0000179,Jude Law,360,-1
nm0001838,Rachel Weisz,nm0000164,Anthony Hopkins,360,-1
nm0000179,Jude Law,nm0000164,Anthony Hopkins,360,-1
nm0342029,Frank Grillo,nm1526352,Jaimie Alexander,Collision,-1
nm1093951,Aaron Taylor-Johnson,nm6328300,Winston Duke,The Fall Guy,-1
nm0001838,Rachel Weisz,nm1089991,Tom Hiddleston,The Deep Blue Sea,-1
nm0262635,Chris Evans,nm0842770,Tilda Swinton,Snowpiercer,-1
nm0413168,Hugh Jackman,nm0000128,Russell Crowe,Les Misérables,-1
nm1569276,Chadwick Boseman,nm0000547,Alfred Molina,Message from the King,-1
nm0252230,Chiwetel Ejiofor,nm1107001,Anthony Mackie,Triple 9,-1
nm0842770,Tilda Swinton,nm1089991,Tom Hiddleston,Only Lovers Left Alive,-1
nm0000547,Alfred Molina,nm0000353,Willem Dafoe,A Family Man,-1
nm1165110,Chris Hemsworth,nm0935653,Ray Winstone,Snow White and the Huntsman,-1
nm0252230,Chiwetel Ejiofor,nm0000547,Alfred Molina,Secret in Their Eyes,-1
nm0000195,Bill Murray,nm0001570,Edward Norton,Moonrise Kingdom,-1
nm0000195,Bill Murray,nm0842770,Tilda Swinton,Moonrise Kingdom,-1
nm0001570,Edward Norton,nm0842770,Tilda Swinton,Moonrise Kingdom,-1
nm0647634,Elizabeth Olsen,nm0429363,Toby Jones,Red Lights,-1
nm0000313,Jeff Bridges,nm1046097,Rachel McAdams,The Little Prince,-1
nm0881631,Karl Urban,nm3886028,Angourie Rice,Walking with Dinosaurs 3D,-1
nm0000906,Annette Bening,nm0004950,Jennifer Garner,Danny Collins,-1
nm0000906,Annette Bening,nm0134072,Bobby Cannavale,Danny Collins,-1
nm0004950,Jennifer Garner,nm0134072,Bobby Cannavale,Danny Collins,-1
nm0000179,Jude Law,nm1093951,Aaron Taylor-Johnson,Anna Karenina,-1
nm0000179,Jude Law,nm0532193,Matthew Macfadyen,Anna Karenina,-1
nm1093951,Aaron Taylor-Johnson,nm0532193,Matthew Macfadyen,Anna Karenina,-1
nm0252230,Chiwetel Ejiofor,nm1526352,Jaimie Alexander,Savannah,-1
nm0350453,Jake Gyllenhaal,nm1046097,Rachel McAdams,Southpaw,-1
nm0424060,Scarlett Johansson,nm0695435,Chris Pratt,Her,-1
nm0000288,Christian Bale,nm0177896,Bradley Cooper,American Hustle,-1
nm0000288,Christian Bale,nm0719637,Jeremy Renner,American Hustle,-1
nm0000288,Christian Bale,nm0671567,Michael Peña,American Hustle,-1
nm0000288,Christian Bale,nm0671567,Michael Peña,American Hustle,-1
nm0177896,Bradley Cooper,nm0719637,Jeremy Renner,American Hustle,-1
nm0177896,Bradley Cooper,nm0671567,Michael Peña,American Hustle,-1
nm0177896,Bradley Cooper,nm0671567,Michael Peña,American Hustle,-1
nm0719637,Jeremy Renner,nm0671567,Michael Peña,American Hustle,-1
nm0719637,Jeremy Renner,nm0671567,Michael Peña,American Hustle,-1
nm2394794,Karen Gillan,nm0507207,Gary Lewis,Not Another Happy Ending,-1
nm0000168,Samuel L. Jackson,nm0004753,Leslie Bibb,Meeting Evil,-1
nm0177896,Bradley Cooper,nm0578853,Ben Mendelsohn,The Place Beyond the Pines,-1
nm0004937,Jamie Foxx,nm0134072,Bobby Cannavale,Annie,-1
nm0177896,Bradley Cooper,nm0757855,Zoe Saldana,The Words,-1
nm0342029,Frank Grillo,nm0741893,Terence Rosemore,Demonic,-1
nm0004937,Jamie Foxx,nm0000168,Samuel L. Jackson,Django Unchained,-1
nm0004937,Jamie Foxx,nm0324658,Walton Goggins,Django Unchained,-1
nm0000168,Samuel L. Jackson,nm0324658,Walton Goggins,Django Unchained,-1
nm0350453,Jake Gyllenhaal,nm0671567,Michael Peña,End of Watch,-1
nm0350453,Jake Gyllenhaal,nm1092086,David Harbour,End of Watch,-1
nm0350453,Jake Gyllenhaal,nm0342029,Frank Grillo,End of Watch,-1
nm0671567,Michael Peña,nm1092086,David Harbour,End of Watch,-1
nm0671567,Michael Peña,nm0342029,Frank Grillo,End of Watch,-1
nm1092086,David Harbour,nm0342029,Frank Grillo,End of Watch,-1
nm1176985,Dave Bautista,nm2810287,David Dastmalchian,Blade Runner 2049,-1
nm0005351,Ryan Reynolds,nm0000168,Samuel L. Jackson,Turbo,-1
nm0005351,Ryan Reynolds,nm0671567,Michael Peña,Turbo,-1
nm0000168,Samuel L. Jackson,nm0671567,Michael Peña,Turbo,-1
nm0004937,Jamie Foxx,nm0272173,Colm Feore,The Amazing Spider-Man 2,-1
nm0004937,Jamie Foxx,nm0272173,Colm Feore,The Amazing Spider-Man 2,-1
nm0749263,Mark Ruffalo,nm0000474,Michael Keaton,Spotlight,-1
nm0749263,Mark Ruffalo,nm1046097,Rachel McAdams,Spotlight,-1
nm0749263,Mark Ruffalo,nm0805476,John Slattery,Spotlight,-1
nm0749263,Mark Ruffalo,nm0001804,Stanley Tucci,Spotlight,-1
nm0000474,Michael Keaton,nm1046097,Rachel McAdams,Spotlight,-1
nm0000474,Michael Keaton,nm0805476,John Slattery,Spotlight,-1
nm0000474,Michael Keaton,nm0001804,Stanley Tucci,Spotlight,-1
nm1046097,Rachel McAdams,nm0805476,John Slattery,Spotlight,-1
nm1046097,Rachel McAdams,nm0001804,Stanley Tucci,Spotlight,-1
nm0805476,John Slattery,nm0001804,Stanley Tucci,Spotlight,-1
nm0005377,Sam Rockwell,nm0836121,Michael Stuhlbarg,Seven Psychopaths,-1
nm0647634,Elizabeth Olsen,nm0163988,Clark Gregg,Very Good Girls,-1
nm0749263,Mark Ruffalo,nm0000569,Gwyneth Paltrow,Thanks for Sharing,-1
nm0000128,Russell Crowe,nm0000164,Anthony Hopkins,Noah,-1
nm0000128,Russell Crowe,nm0935653,Ray Winstone,Noah,-1
nm0000164,Anthony Hopkins,nm0935653,Ray Winstone,Noah,-1
nm0005351,Ryan Reynolds,nm0000168,Samuel L. Jackson,The Hitman's Bodyguard,-1
nm0749263,Mark Ruffalo,nm0757855,Zoe Saldana,Infinitely Polar Bear,-1
nm0000179,Jude Law,nm0005023,Djimon Hounsou,King Arthur: Legend of the Sword,-1
nm0252961,Idris Elba,nm0004753,Leslie Bibb,No Good Deed,-1
nm0269463,Jon Favreau,nm1939267,Tip 'T.I.' Harris,Identity Thief,-1
nm1015684,Corey Stoll,nm2143282,Lupita Nyong'o,Non-Stop,-1
nm0000474,Michael Keaton,nm0000353,Willem Dafoe,Beetlejuice Beetlejuice,-1
nm0000204,Natalie Portman,nm0000949,Cate Blanchett,Song to Song,-1
nm0004937,Jamie Foxx,nm1939267,Tip 'T.I.' Harris,Sleepless,-1
nm0004937,Jamie Foxx,nm1092086,David Harbour,Sleepless,-1
nm1939267,Tip 'T.I.' Harris,nm1092086,David Harbour,Sleepless,-1
nm4043618,Tom Holland,nm0586568,Mads Mikkelsen,Chaos Walking,-1
nm0000168,Samuel L. Jackson,nm0829032,Ray Stevenson,Big Game,-1
nm0005377,Sam Rockwell,nm0000619,Tim Roth,Mr. Right,-1
nm0005377,Sam Rockwell,nm0000619,Tim Roth,Mr. Right,-1
nm1002641,Dominic Cooper,nm0005024,Terrence Howard,Dead Man Down,-1
nm0000288,Christian Bale,nm0000949,Cate Blanchett,Knight of Cups,-1
nm0000288,Christian Bale,nm0000204,Natalie Portman,Knight of Cups,-1
nm0000949,Cate Blanchett,nm0000204,Natalie Portman,Knight of Cups,-1
nm0748620,Paul Rudd,nm3529685,Kumail Nanjiani,Ghostbusters: Frozen Empire,-1
nm0262635,Chris Evans,nm1107001,Anthony Mackie,Playing It Cool,-1
nm1212722,Benedict Cumberbatch,nm4043618,Tom Holland,The Current War,-1
nm1212722,Benedict Cumberbatch,nm0532193,Matthew Macfadyen,The Current War,-1
nm4043618,Tom Holland,nm0532193,Matthew Macfadyen,The Current War,-1
nm0000195,Bill Murray,nm0005024,Terrence Howard,St. Vincent,-1
nm0000195,Bill Murray,nm0000949,Cate Blanchett,The Monuments Men,-1
