tconst,nconst,category,characters,name,primaryTitle
tt0808232,nm0000313,actor,"[""Jon Katz""]",Jeff Bridges,A Dog Year
tt0808399,nm0000204,actress,"[""Rifka (segment \""Mira Nair\"")""]",Natalie Portman,"New York, I Love You"
tt0808399,nm0177896,actor,"[""Gus (segment \""Allen Hughes\"")""]",Bradley Cooper,"New York, I Love You"
tt0810880,nm0000291,actress,"[""Sarah Malcolm""]",Angela Bassett,Gospel Hill
tt0810922,nm0695435,actor,"[""Kyle Masterson""]",Chris Pratt,Take Me Home Tonight
tt0814314,nm0810488,actor,"[""George Ristuccia""]",Bill Smitrovich,Seven Pounds
tt0817230,nm0004937,actor,"[""Kelvin Moore""]",Jamie Foxx,Valentine's Day
tt0817230,nm0177896,actor,"[""Holden""]",Bradley Cooper,Valentine's Day
tt0818172,nm0002073,actor,"[""Lou""]",Lou Ferrigno,Soupernatural
tt0821640,nm0004950,actress,"[""Jenny Perotti""]",Jennifer Garner,Ghosts of Girlfriends Past
tt0821640,nm0000140,actor,"[""Uncle Wayne""]",Michael Douglas,Ghosts of Girlfriends Past
tt0821642,nm0004937,actor,"[""Nathaniel Ayers""]",Jamie Foxx,The Soloist
tt0821642,nm0000375,actor,"[""Steve Lopez""]",Robert Downey Jr.,The Soloist
tt0822847,nm0079273,actor,"[""Priest""]",Paul Bettany,Priest
tt0822847,nm0881631,actor,"[""Black Hat""]",Karl Urban,Priest
tt0822868,nm1935086,actress,"[""Dana""]",Tessa Thompson,Make It Happen
tt0824747,nm0001401,actress,"[""Christine Collins""]",Angelina Jolie,Changeling
tt0824747,nm0272173,actor,"[""Chief James E. Davis""]",Colm Feore,Changeling
tt0829150,nm1002641,actor,"[""Mehmed""]",Dominic Cooper,Dracula Untold
tt0830515,nm1385871,actress,"[""Camille""]",Olga Kurylenko,Quantum of Solace
tt0830515,nm1092086,actor,"[""Gregg Beam""]",David Harbour,Quantum of Solace
tt0831387,nm1093951,actor,"[""Ford Brody""]",Aaron Taylor-Johnson,Godzilla
tt0831387,nm0647634,actress,"[""Elle Brody""]",Elizabeth Olsen,Godzilla
tt0831887,nm0000168,actor,"[""Octopus""]",Samuel L. Jackson,The Spirit
tt0831887,nm0424060,actress,"[""Silken Floss""]",Scarlett Johansson,The Spirit
tt0832266,nm0005351,actor,"[""Will Hayes""]",Ryan Reynolds,"Definitely, Maybe"
tt0832266,nm0001838,actress,"[""Summer Hartley""]",Rachel Weisz,"Definitely, Maybe"
tt0833557,nm0339460,actress,"[""Michelle""]",Judy Greer,Visioneers
tt0838232,nm0000547,actor,"[""Pepperidge""]",Alfred Molina,The Pink Panther 2
tt0838283,nm0000604,actor,"[""Dale Doback""]",John C. Reilly,Step Brothers
tt0840361,nm0719637,actor,"[""James Coughlin""]",Jeremy Renner,The Town
tt0842926,nm0000906,actress,"[""Nic""]",Annette Bening,The Kids Are All Right
tt0842926,nm0749263,actor,"[""Paul""]",Mark Ruffalo,The Kids Are All Right
tt0844286,nm0001838,actress,"[""Penelope""]",Rachel Weisz,The Brothers Bloom
tt0844286,nm0749263,actor,"[""Stephen""]",Mark Ruffalo,The Brothers Bloom
tt0844471,nm0000973,actor,"[""Manny""]",Benjamin Bratt,Cloudy with a Chance of Meatballs
tt0846308,nm0001804,actor,"[""Jefferson Berk""]",Stanley Tucci,Kit Kittredge: An American Girl
tt0848228,nm0000375,actor,"[""Tony Stark""]",Robert Downey Jr.,The Avengers
tt0848228,nm0000375,actor,"[""Iron Man""]",Robert Downey Jr.,The Avengers
tt0848228,nm0262635,actor,"[""Steve Rogers""]",Chris Evans,The Avengers
tt0848228,nm0262635,actor,"[""Captain America""]",Chris Evans,The Avengers
tt0848228,nm0424060,actress,"[""Natasha Romanoff""]",Scarlett Johansson,The Avengers
tt0848228,nm0424060,actress,"[""Black Widow""]",Scarlett Johansson,The Avengers
tt0848228,nm0719637,actor,"[""Clint Barton""]",Jeremy Renner,The Avengers
tt0848228,nm0719637,actor,"[""Hawkeye""]",Jeremy Renner,The Avengers
tt0848228,nm0749263,actor,"[""Bruce Banner""]",Mark Ruffalo,The Avengers
tt0848228,nm0749263,actor,"[""The Hulk""]",Mark Ruffalo,The Avengers
tt0848228,nm1165110,actor,"[""Thor""]",Chris Hemsworth,The Avengers
tt0848228,nm1089991,actor,"[""Loki""]",Tom Hiddleston,The Avengers
tt0848228,nm0163988,actor,"[""Agent Phil Coulson""]",Clark Gregg,The Avengers
tt0848228,nm1130627,actress,"[""Agent Maria Hill""]",Cobie Smulders,The Avengers
tt0848228,nm0001745,actor,"[""Selvig""]",Stellan Skarsgård,The Avengers
tt0851530,nm0000547,actor,"[""Chandler Manning""]",Alfred Molina,The Lodger
tt0852713,nm0993507,actress,"[""Mona""]",Kat Dennings,The House Bunny
tt0855852,nm0038355,actor,"[""Yamazaki Toru""]",Tadanobu Asano,Kabei: Our Mother
tt0857190,nm0935653,actor,"[""DI Jack Regan""]",Ray Winstone,The Sweeney
tt0857190,nm2017943,actress,"[""DC Nancy Lewis""]",Hayley Atwell,The Sweeney
tt0858419,nm0740264,actor,"[""Pat McMurphy""]",Michael Rooker,Bolden
tt0861689,nm0749263,actor,"[""Doctor""]",Mark Ruffalo,Blindness
tt0862467,nm0586568,actor,"[""One Eye""]",Mads Mikkelsen,Valhalla Rising
tt0862467,nm0507207,actor,"[""Kare - Christian Viking""]",Gary Lewis,Valhalla Rising
tt0864761,nm1002641,actor,"[""Charles Grey""]",Dominic Cooper,The Duchess
tt0864761,nm2017943,actress,"[""Bess Foster""]",Hayley Atwell,The Duchess
tt0864835,nm0123092,actor,"[""Mr. Peabody""]",Ty Burrell,Mr. Peabody & Sherman
tt0865554,nm0000620,actor,"[""Peter""]",Mickey Rourke,The Informers
tt0867591,nm0000239,actress,"[""Clare Cooper""]",Liv Tyler,Smother
tt0870111,nm0005377,actor,"[""James Reston, Jr.""]",Sam Rockwell,Frost/Nixon
