source;source_name;target;target_name;relationship;type
nm1093951;Aaron Taylor-Johnson;nm6328300;Winston Duke;-1;undirected
nm0001838;Rachel Weisz;nm1089991;Tom Hiddleston;-1;undirected
nm0262635;Chris Evans;nm0842770;Tilda Swinton;-1;undirected
nm0413168;Hugh Jackman;nm0000128;Russell Crowe;-1;undirected
nm1569276;Chadwick Boseman;nm0000547;Alfred Molina;-1;undirected
nm0252230;Chiwetel Ejiofor;nm1107001;Anthony Mackie;-1;undirected
nm0842770;Tilda Swinton;nm1089991;Tom Hiddleston;-1;undirected
nm0000547;Alfred Molina;nm0000353;Willem Dafoe;-1;undirected
nm1165110;Chris Hemsworth;nm0935653;Ray Winstone;-1;undirected
nm0252230;Chiwetel Ejiofor;nm0000547;Alfred Molina;-1;undirected
nm0000195;Bill Murray;nm0001570;Edward Norton;-1;undirected
nm0000195;Bill Murray;nm0842770;Tilda Swinton;-1;undirected
nm0001570;Edward Norton;nm0842770;Tilda Swinton;-1;undirected
nm0647634;Elizabeth Olsen;nm0429363;Toby Jones;-1;undirected
nm0000313;Jeff Bridges;nm1046097;Rachel McAdams;-1;undirected
nm0881631;Karl Urban;nm3886028;Angourie Rice;-1;undirected
nm0000906;Annette Bening;nm0004950;Jennifer Garner;-1;undirected
nm0000906;Annette Bening;nm0134072;Bobby Cannavale;-1;undirected
nm0004950;Jennifer Garner;nm0134072;Bobby Cannavale;-1;undirected
nm0000179;Jude Law;nm1093951;Aaron Taylor-Johnson;-1;undirected
nm0000179;Jude Law;nm0532193;Matthew Macfadyen;-1;undirected
nm1093951;Aaron Taylor-Johnson;nm0532193;Matthew Macfadyen;-1;undirected
nm0252230;Chiwetel Ejiofor;nm1526352;Jaimie Alexander;-1;undirected
nm0350453;Jake Gyllenhaal;nm1046097;Rachel McAdams;-1;undirected
nm0424060;Scarlett Johansson;nm0695435;Chris Pratt;-1;undirected
nm0000288;Christian Bale;nm0177896;Bradley Cooper;-1;undirected
nm0000288;Christian Bale;nm0719637;Jeremy Renner;-1;undirected
nm0000288;Christian Bale;nm0671567;Michael Peña;-1;undirected
nm0000288;Christian Bale;nm0671567;Michael Peña;-1;undirected
nm0177896;Bradley Cooper;nm0719637;Jeremy Renner;-1;undirected
nm0177896;Bradley Cooper;nm0671567;Michael Peña;-1;undirected
nm0177896;Bradley Cooper;nm0671567;Michael Peña;-1;undirected
nm0719637;Jeremy Renner;nm0671567;Michael Peña;-1;undirected
nm0719637;Jeremy Renner;nm0671567;Michael Peña;-1;undirected
nm2394794;Karen Gillan;nm0507207;Gary Lewis;-1;undirected
nm0000168;Samuel L. Jackson;nm0004753;Leslie Bibb;-1;undirected
nm0177896;Bradley Cooper;nm0578853;Ben Mendelsohn;-1;undirected
nm0004937;Jamie Foxx;nm0134072;Bobby Cannavale;-1;undirected
nm0342029;Frank Grillo;nm0741893;Terence Rosemore;-1;undirected
nm0004937;Jamie Foxx;nm0000168;Samuel L. Jackson;-1;undirected
nm0004937;Jamie Foxx;nm0324658;Walton Goggins;-1;undirected
nm0000168;Samuel L. Jackson;nm0324658;Walton Goggins;-1;undirected
nm0350453;Jake Gyllenhaal;nm0671567;Michael Peña;-1;undirected
nm0350453;Jake Gyllenhaal;nm1092086;David Harbour;-1;undirected
nm0350453;Jake Gyllenhaal;nm0342029;Frank Grillo;-1;undirected
nm0671567;Michael Peña;nm1092086;David Harbour;-1;undirected
nm0671567;Michael Peña;nm0342029;Frank Grillo;-1;undirected
nm1092086;David Harbour;nm0342029;Frank Grillo;-1;undirected
nm1176985;Dave Bautista;nm2810287;David Dastmalchian;-1;undirected
nm0005351;Ryan Reynolds;nm0000168;Samuel L. Jackson;-1;undirected
